13 11 | 0 3 3 3 1 1 0 0 0 | 4 - - 1 - - 4 - - | 5 x x o - | 4 11
13 13 | 0 3 1 2 1 1 1 1 3 | - 1 3 2 3 3 - - 1 | 8 o o - ? | 7 15
13 13 | 3 1 1 1 1 1 1 1 3 | 1 3 3 3 3 3 3 3 1 | 9 o o - - | 10 25
13 13 | 0 4 1 2 0 1 1 1 3 | 4 - 3 2 4 - - - - | 8 x o - ? | 5 15
13 13 | 0 3 1 1 2 1 2 0 3 | - - - 3 - 3 2 4 - | 8 o o - ? | 5 14
13 13 | 0 3 1 2 2 1 1 0 3 | - - 3 2 - 3 3 4 - | 8 o o - ? | 6 17
13 13 | 0 4 1 2 1 1 1 0 3 | 4 - 3 2 - - 3 4 - | 8 x o - ? | 6 18
13 13 | 0 3 0 1 0 1 3 3 2 | - - 4 3 4 - - - - | 8 o o - ? | 4 13
13 13 | 0 3 0 1 1 1 3 2 2 | - - 4 3 - - 1 2 2 | 8 o o - ? | 6 14
13 13 | 0 3 1 1 1 0 3 2 2 | - - - - - 4 1 2 2 | 8 o o - ? | 5 11
13 13 | 3 1 1 1 1 1 1 2 2 | - - - - - - 3 2 2 | 9 o o - - | 3 7
13 13 | 0 3 1 1 1 1 3 1 2 | - - - - - - 1 3 2 | 8 o o - ? | 3 6
13 13 | 3 1 1 1 1 1 2 1 2 | - - - - - 3 - 3 2 | 9 o o - - | 4 10
13 13 | 3 0 1 1 1 1 1 4 1 | - 4 3 - - 3 3 - 3 | 9 o o - - | 6 18
13 13 | 3 1 1 1 0 1 1 4 1 | - - - - 4 3 3 - 3 | 9 o o - - | 5 15
13 13 | 3 1 1 1 1 1 1 3 1 | 1 - - 3 - - 3 1 3 | 9 o o - - | 6 13
13 13 | 0 3 1 1 1 1 4 1 1 | 4 1 3 3 3 3 0 3 3 | 8 x o - ? | 9 25
13 13 | 3 1 1 1 1 2 2 1 1 | - - - - 3 2 - 3 3 | 9 o o - - | 5 13
13 13 | 0 1 1 3 2 3 1 1 1 | 4 - 3 1 2 1 - - 3 | 8 x o - ? | 7 16
13 13 | 0 1 1 2 4 2 1 1 1 | 4 - 3 2 - 2 3 - 3 | 8 x o - ? | 7 19
13 13 | 3 1 1 2 1 2 1 1 1 | - - 3 - 3 2 - - 3 | 9 o o - - | 5 13
13 13 | 0 1 2 2 4 1 1 1 1 | 4 - 2 2 - 3 3 - 3 | 8 x o - ? | 7 19
13 13 | 3 0 1 1 4 1 1 1 1 | - 4 3 3 - 3 3 - 3 | 9 o o - - | 7 21
13 13 | 0 1 1 4 3 1 1 1 1 | 4 - - 0 1 3 3 - 3 | 8 x o - ? | 6 16
13 13 | 3 1 1 1 3 1 1 1 1 | 1 - - 3 1 3 3 - 3 | 9 o o - - | 7 16
13 13 | 0 3 1 4 1 1 1 1 1 | 4 1 3 0 3 3 3 - 3 | 8 x o - ? | 8 22
13 13 | 0 2 3 3 1 1 1 1 1 | - 2 1 1 - 3 3 - 3 | 8 o o - ? | 7 15
13 13 | 3 1 2 2 1 1 1 1 1 | - 3 2 - 3 3 - - 3 | 9 o o - - | 6 16
13 13 | 2 2 3 1 1 1 1 1 1 | 2 2 1 - - 3 - - 3 | 9 o o - - | 6 13
13 13 | 3 3 1 1 1 1 1 1 1 | 1 1 3 3 - 3 3 - 3 | 9 o o - - | 8 19
13 13 | 2 3 3 1 0 1 1 1 1 | - - - - 4 3 - - 3 | 9 o o - - | 4 12
13 13 | 2 3 3 1 1 1 1 0 1 | - - - - - - - 4 3 | 9 o o - - | 3 9
13 13 | 3 1 2 1 1 1 1 3 0 | 1 3 2 3 3 - - 1 - | 8 o o - ? | 7 15
13 13 | 3 1 1 2 1 2 0 3 0 | - - 3 - 3 2 4 - - | 8 o o - ? | 5 14
13 13 | 3 1 2 2 1 1 0 3 0 | - 3 2 - 3 3 4 - - | 8 o o - ? | 6 17
13 13 | 3 0 1 0 1 3 3 2 0 | - 4 3 4 - - - - - | 8 o o - ? | 4 13
13 13 | 0 3 1 1 1 2 3 2 0 | - - - - - 2 1 2 4 | 7 o x - - | 5 11
13 13 | 0 3 1 1 1 3 2 2 0 | 4 - 3 3 - 1 2 2 4 | 7 x x - - | 8 21
13 13 | 3 0 1 1 1 3 2 2 0 | - 4 3 - - 1 2 2 4 | 8 o x - ? | 7 18
13 13 | 3 1 1 1 0 3 2 2 0 | - - - - 4 1 2 2 4 | 8 o x - ? | 6 15
13 13 | 3 1 1 1 1 3 1 2 0 | - - - - - 1 3 2 - | 8 o o - ? | 3 6
13 13 | 0 3 1 1 1 2 4 1 0 | 4 1 3 3 3 2 0 3 4 | 7 x x - - | 9 25
13 13 | 0 1 4 1 1 1 4 1 0 | 4 3 - 3 3 3 - 3 4 | 7 x x - - | 8 25
13 13 | 0 3 1 1 1 3 3 1 0 | - - - - 3 1 1 3 4 | 7 o x - - | 6 14
13 13 | 0 3 1 1 2 2 3 1 0 | - - - 3 - 2 1 - 4 | 7 o x - - | 5 12
13 13 | 0 3 1 1 1 4 2 1 0 | - 1 - - 3 0 2 3 4 | 7 o x - - | 6 15
13 13 | 3 1 1 1 1 3 2 1 0 | - - - - 3 1 - 3 4 | 8 o x - ? | 5 13
13 13 | 0 3 1 2 2 2 2 1 0 | - - 3 2 - 2 2 - 4 | 7 o x - - | 6 15
13 13 | 0 2 3 3 1 1 2 1 0 | - - - - - 3 2 - 4 | 7 o x - - | 4 11
13 13 | 0 1 1 4 1 4 1 1 0 | 4 3 3 0 3 0 3 3 4 | 7 x x - - | 8 25
13 13 | 0 3 1 2 1 4 1 1 0 | - 1 3 2 3 0 - - 4 | 7 o x - - | 6 15
